"component_name","final_classification","batch","priority","risk_level","effort","consumer_apps","repo_ui_status","spec_required","migration_complexity"
"AlterationViewShell","KEEP_APP_LOCAL","N/A","P2","LOW","S","claim-portal","missing","no","low"
"Analytic","KEEP_APP_LOCAL","N/A","P2","LOW","XS","gegm-friendcover","partial","no","low"
"app__(callback-handlers)__auth__page","KEEP_APP_LOCAL","N/A","P3","LOW","S","gelm-xproject-microsite","partial","no","low"
"app__(callback-handlers)__verify-payment__page","SPLIT","1.5","P0","HIGH","L","gelm-xproject-microsite","partial","no","high"
"app__(callback-handlers)__verify-payment__VerifyPaymentShell","KEEP_APP_LOCAL","N/A","P0","HIGH","M","gelm-xproject-microsite","partial","no","low"
"app__age-uneligible__page","KEEP_APP_LOCAL","N/A","P3","LOW","S","gelm-xproject-microsite","partial","no","low"
"app__already-protected__page","KEEP_APP_LOCAL","N/A","P3","LOW","S","gelm-xproject-microsite","partial","no","low"
"app__balance-insufficient__page","KEEP_APP_LOCAL","N/A","P3","LOW","S","gelm-xproject-microsite","partial","no","low"
"app__cookie-policy__page","KEEP_APP_LOCAL","N/A","P3","LOW","S","gelm-xproject-microsite","partial","no","low"
"app__invalid-token__page","KEEP_APP_LOCAL","N/A","P3","LOW","S","gelm-xproject-microsite","partial","no","low"
"app__layout","KEEP_APP_LOCAL","N/A","P3","LOW","S","gelm-xproject-microsite","partial","no","low"
"app__order__change-plan__page","KEEP_APP_LOCAL","N/A","P1","HIGH","S","gelm-xproject-microsite","partial","no","low"
"app__order__personal-info__OrderPersonalInfoShell","KEEP_APP_LOCAL","N/A","P0","HIGH","M","gelm-xproject-microsite","partial","no","low"
"app__order__personal-info__page","SPLIT","1.5","P0","HIGH","L","gelm-xproject-microsite","partial","no","high"
"app__order__preview__page","KEEP_APP_LOCAL","N/A","P1","HIGH","S","gelm-xproject-microsite","partial","no","low"
"app__page","KEEP_APP_LOCAL","N/A","P3","LOW","S","gelm-xproject-microsite","partial","no","low"
"app__payment-success__page","KEEP_APP_LOCAL","N/A","P3","LOW","S","gelm-xproject-microsite","partial","no","low"
"app__plans__page","KEEP_APP_LOCAL","N/A","P3","LOW","S","gelm-xproject-microsite","partial","no","low"
"app__privacy-policy__page","KEEP_APP_LOCAL","N/A","P3","LOW","S","gelm-xproject-microsite","partial","no","low"
"app__terms-and-conditions__page","KEEP_APP_LOCAL","N/A","P3","LOW","S","gelm-xproject-microsite","partial","no","low"
"app__token-generator__page","KEEP_APP_LOCAL","N/A","P3","LOW","S","gelm-xproject-microsite","partial","no","low"
"AppAboutUsPage","KEEP_APP_LOCAL","N/A","P2","LOW","M","teman-affiliate-microsite","missing","no","low"
"AppAdmin","SPLIT","1.5","P0","MEDIUM","S","teman-affiliate-admin|ticket-portal","partial","no","high"
"AppAdminClaimClaimListIdPage","KEEP_APP_LOCAL","N/A","P3","HIGH","XS","gegm-friendcover-admin","missing","no","low"
"AppAdminClaimClaimListPage","KEEP_APP_LOCAL","N/A","P3","HIGH","XS","gegm-friendcover-admin","missing","no","low"
"AppAdminContainer","KEEP_APP_LOCAL","N/A","P0","MEDIUM","S","teman-affiliate-admin","missing","no","low"
"AppAdminCustomerCustomerListIdPage","KEEP_APP_LOCAL","N/A","P3","HIGH","XS","gegm-friendcover-admin","missing","no","low"
"AppAdminCustomerCustomerListPage","KEEP_APP_LOCAL","N/A","P3","HIGH","XS","gegm-friendcover-admin","missing","no","low"
"AppAdminLayout","KEEP_APP_LOCAL","N/A","P3","LOW","XS","gegm-friendcover-admin","missing","no","low"
"AppAdminMasterdataSanctionListAddPage","KEEP_APP_LOCAL","N/A","P3","HIGH","XS","gegm-friendcover-admin","missing","no","low"
"AppAdminMasterdataSanctionListIdPage","KEEP_APP_LOCAL","N/A","P3","HIGH","XS","gegm-friendcover-admin","missing","no","low"
"AppAdminMasterdataSanctionListPage","KEEP_APP_LOCAL","N/A","P3","HIGH","XS","gegm-friendcover-admin","missing","no","low"
"AppAdminMasterdataSanctionListUploadPage","KEEP_APP_LOCAL","N/A","P3","HIGH","XS","gegm-friendcover-admin","missing","no","low"
"AppAdminMasterdataSanctionLogIdPage","KEEP_APP_LOCAL","N/A","P3","HIGH","XS","gegm-friendcover-admin","missing","no","low"
"AppAdminMasterdataSanctionLogPage","KEEP_APP_LOCAL","N/A","P3","HIGH","XS","gegm-friendcover-admin","missing","no","low"
"AppAdminMasterdataSourceListAddPage","KEEP_APP_LOCAL","N/A","P3","HIGH","XS","gegm-friendcover-admin","missing","no","low"
"AppAdminMasterdataSourceListIdPage","KEEP_APP_LOCAL","N/A","P3","HIGH","XS","gegm-friendcover-admin","missing","no","low"
"AppAdminMasterdataSourceListPage","KEEP_APP_LOCAL","N/A","P3","HIGH","XS","gegm-friendcover-admin","missing","no","low"
"AppAdminPerformanceDashboardPage","KEEP_APP_LOCAL","N/A","P3","HIGH","XS","gegm-friendcover-admin","missing","no","low"
"AppAdminShell","KEEP_APP_LOCAL","N/A","P0","MEDIUM","S","teman-affiliate-admin","missing","no","low"
"AppAdminTransactionsTransactionsListPage","KEEP_APP_LOCAL","N/A","P3","HIGH","XS","gegm-friendcover-admin","missing","no","low"
"AppAffiliateAffiliateFeePage","KEEP_APP_LOCAL","N/A","P1","HIGH","S","teman-affiliate-admin","missing","no","low"
"AppAffiliateAffiliateManagerPage","KEEP_APP_LOCAL","N/A","P1","HIGH","S","teman-affiliate-admin","missing","no","low"
"AppAgentCodeSlugPage","SPLIT","1.5","P2","MEDIUM","M","getrev-da-microsite","missing","no","high"
"AppAgentCodeSlugPageContainer","KEEP_APP_LOCAL","N/A","P2","LOW","S","getrev-da-microsite","missing","no","low"
"AppAgentCodeSlugPageShell","KEEP_APP_LOCAL","N/A","P3","LOW","S","getrev-da-microsite","missing","no","low"
"AppAiRecommenderByCategoryPage","KEEP_APP_LOCAL","N/A","P2","MEDIUM","XS","teman-affiliate-microsite","missing","no","low"
"AppAiRecommenderByCategoryResultsPage","KEEP_APP_LOCAL","N/A","P2","MEDIUM","XS","teman-affiliate-microsite","missing","no","low"
"AppAiRecommenderPage","KEEP_APP_LOCAL","N/A","P2","MEDIUM","XS","teman-affiliate-microsite","missing","no","low"
"AppArticleBySlugPage","KEEP_APP_LOCAL","N/A","P2","LOW","XS","teman-affiliate-microsite","missing","no","low"
"AppArticleKenapaAsuransiPentingYukKulikKonsepDanManfaatnyaContent","KEEP_APP_LOCAL","N/A","P2","LOW","L","teman-affiliate-microsite","missing","no","low"
"AppArticleMengapaAsuransiMobilSangatPentingIni5AlasanUtamaContent","KEEP_APP_LOCAL","N/A","P2","LOW","L","teman-affiliate-microsite","missing","no","low"
"AppArticlePanduanPraktisCaraMemilihAsuransiPerjalananYangTepatBuatKamuContent","KEEP_APP_LOCAL","N/A","P2","LOW","L","teman-affiliate-microsite","missing","no","low"
"AppBackdrop","KEEP_APP_LOCAL","N/A","P1","MEDIUM","S","teman-affiliate-admin|ticket-portal","partial","no","low"
"AppByAgentCodeBySlugPage","KEEP_APP_LOCAL","N/A","P2","LOW","XS","teman-affiliate-microsite","missing","no","low"
"AppByAgentCodePage","KEEP_APP_LOCAL","N/A","P2","LOW","XS","teman-affiliate-microsite","missing","no","low"
"AppCallbackHandlersAuthPage","SPLIT","1.5","P0","HIGH","XS","getrev-da-microsite|teman-affiliate-microsite","missing","no","high"
"AppCallbackHandlersAuthPageContainer","KEEP_APP_LOCAL","N/A","P2","LOW","S","getrev-da-microsite","missing","no","low"
"AppCallbackHandlersAuthPageShell","KEEP_APP_LOCAL","N/A","P3","LOW","S","getrev-da-microsite","missing","no","low"
"AppCallbackHandlersVerifyPaymentPage","SPLIT","1.5","P1","HIGH","M","getrev-da-microsite|teman-affiliate-microsite","missing","no","high"
"AppCallbackHandlersVerifyPaymentPageContainer","KEEP_APP_LOCAL","N/A","P2","LOW","S","getrev-da-microsite","missing","no","low"
"AppCallbackHandlersVerifyPaymentPageShell","KEEP_APP_LOCAL","N/A","P3","LOW","S","getrev-da-microsite","missing","no","low"
"AppClaimClaimHistoryPage","KEEP_APP_LOCAL","N/A","P1","HIGH","S","teman-affiliate-admin","missing","no","low"
"AppClaimClaimListPage","KEEP_APP_LOCAL","N/A","P1","HIGH","S","teman-affiliate-admin","missing","no","low"
"AppCommunityPage","KEEP_APP_LOCAL","N/A","P2","LOW","S","teman-affiliate-microsite","missing","no","low"
"AppCookiePolicyPage","KEEP_APP_LOCAL","N/A","P2","MEDIUM","M","getrev-da-microsite|teman-affiliate-microsite","missing","no","low"
"AppCustomerAlterationListPage","KEEP_APP_LOCAL","N/A","P1","HIGH","S","teman-affiliate-admin","missing","no","low"
"AppCustomerCustomerListPage","KEEP_APP_LOCAL","N/A","P1","HIGH","S","teman-affiliate-admin","missing","no","low"
"AppCustomerReferralListPage","KEEP_APP_LOCAL","N/A","P1","HIGH","S","teman-affiliate-admin","missing","no","low"
"AppFreeLookNotificationPage","SPLIT","1.5","P2","MEDIUM","S","gegm-friendcover|getrev-da-microsite","partial","no","high"
"AppFreeLookNotificationPageContainer","KEEP_APP_LOCAL","N/A","P2","LOW","S","getrev-da-microsite","missing","no","low"
"AppFreeLookNotificationPageShell","KEEP_APP_LOCAL","N/A","P3","LOW","S","getrev-da-microsite","missing","no","low"
"AppHeader","SPLIT","1.5","P0","MEDIUM","S","teman-affiliate-admin|ticket-portal","partial","no","high"
"AppHeaderContainer","KEEP_APP_LOCAL","N/A","P0","MEDIUM","S","teman-affiliate-admin","missing","no","low"
"AppHeaderShell","KEEP_APP_LOCAL","N/A","P0","MEDIUM","S","teman-affiliate-admin","missing","no","low"
"AppLayout","KEEP_APP_LOCAL","N/A","P2","MEDIUM","XS","ecommerce-teman|gegm-friendcover|gegm-friendcover-admin|getrev-da-microsite|teman-affiliate-admin|teman-affiliate-microsite|ticket-portal","partial","no","low"
"Application","SPLIT","1.5","P1","HIGH","XS","affiliate-admin|affiliate-portal|agent-web-portal","partial","no","high"
"ApplicationContainer","KEEP_APP_LOCAL","N/A","P1","LOW","M","agent-web-portal","partial","no","low"
"ApplicationPage","KEEP_APP_LOCAL","N/A","P3","LOW","XS","agent-portal","partial","no","low"
"ApplicationReviewDrawer","KEEP_APP_LOCAL","N/A","P2","LOW","S","gegm-friendcover","partial","no","low"
"ApplicationShell","KEEP_APP_LOCAL","N/A","P1","MEDIUM","S","agent-web-portal","partial","no","low"
"AppLoading","KEEP_APP_LOCAL","N/A","P2","MEDIUM","S","teman-affiliate-admin","missing","no","low"
"AppMasterdataAmlaPage","KEEP_APP_LOCAL","N/A","P1","HIGH","S","teman-affiliate-admin","missing","no","low"
"AppMasterdataCategoryPage","KEEP_APP_LOCAL","N/A","P1","HIGH","S","teman-affiliate-admin","missing","no","low"
"AppMasterdataCurrencyPage","KEEP_APP_LOCAL","N/A","P1","HIGH","S","teman-affiliate-admin","missing","no","low"
"AppMasterdataHolidayDatePage","KEEP_APP_LOCAL","N/A","P1","HIGH","S","teman-affiliate-admin","missing","no","low"
"AppMasterdataInsurancePage","KEEP_APP_LOCAL","N/A","P1","HIGH","S","teman-affiliate-admin","missing","no","low"
"AppMasterdataProductPage","KEEP_APP_LOCAL","N/A","P1","HIGH","S","teman-affiliate-admin","missing","no","low"
"AppMasterdataUserPage","KEEP_APP_LOCAL","N/A","P1","HIGH","S","teman-affiliate-admin","missing","no","low"
"AppMenu","MIGRATE_AFTER_SPLIT","1.5","P0","MEDIUM","M","teman-affiliate-admin|ticket-portal","partial","no","high"
"AppMenuContainer","KEEP_APP_LOCAL","N/A","P0","MEDIUM","S","teman-affiliate-admin","missing","no","low"
"AppMenuShell","KEEP_APP_LOCAL","N/A","P0","MEDIUM","S","teman-affiliate-admin","missing","no","low"
"AppNotFound","KEEP_APP_LOCAL","N/A","P3","LOW","S","getrev-da-microsite","missing","no","low"
"AppNotFoundPage","KEEP_APP_LOCAL","N/A","P3","LOW","XS","agent-portal","partial","no","low"
"AppOrderChangePlanPage","KEEP_APP_LOCAL","N/A","P3","LOW","S","getrev-da-microsite","missing","no","low"
"AppOrderCustomerInfoPage","KEEP_APP_LOCAL","N/A","P3","LOW","S","getrev-da-microsite","missing","no","low"
"AppOrderDeclarationPage","KEEP_APP_LOCAL","N/A","P3","LOW","S","getrev-da-microsite","missing","no","low"
"AppOrderPaymentMethodPage","KEEP_APP_LOCAL","N/A","P3","LOW","S","getrev-da-microsite","missing","no","low"
"AppOrderPersonalInfoInsuredIdPage","KEEP_APP_LOCAL","N/A","P3","LOW","S","getrev-da-microsite","missing","no","low"
"AppOrderPersonalInfoPage","KEEP_APP_LOCAL","N/A","P3","LOW","S","getrev-da-microsite","missing","no","low"
"AppOrderPreviewPage","KEEP_APP_LOCAL","N/A","P3","LOW","S","getrev-da-microsite","missing","no","low"
"AppPage","KEEP_APP_LOCAL","N/A","P2","HIGH","XS","admin-portal|gegm-friendcover|gegm-friendcover-admin|getrev-da-microsite|teman-affiliate-microsite|ticket-portal","partial","no","low"
"AppPaymentByIdCompletePaymentPage","KEEP_APP_LOCAL","N/A","P0","HIGH","XS","teman-affiliate-microsite","missing","no","low"
"AppPaymentByIdMetodePembayaranByMethodCodeOtenticPage","KEEP_APP_LOCAL","N/A","P0","HIGH","S","teman-affiliate-microsite","missing","no","low"
"AppPaymentByIdMetodePembayaranByMethodCodeOtenticSuccessPage","KEEP_APP_LOCAL","N/A","P0","HIGH","XS","teman-affiliate-microsite","missing","no","low"
"AppPaymentByIdMetodePembayaranByMethodPage","KEEP_APP_LOCAL","N/A","P0","HIGH","S","teman-affiliate-microsite","missing","no","low"
"AppPaymentByIdMetodePembayaranPage","KEEP_APP_LOCAL","N/A","P0","HIGH","S","teman-affiliate-microsite","missing","no","low"
"AppPaymentByIdPreviewPage","KEEP_APP_LOCAL","N/A","P0","HIGH","XS","teman-affiliate-microsite","missing","no","low"
"AppPaymentPage","KEEP_APP_LOCAL","N/A","P0","HIGH","XS","teman-affiliate-microsite","missing","no","low"
"AppPaymentSuccessPage","SPLIT","1.5","P2","MEDIUM","M","getrev-da-microsite","missing","no","high"
"AppPaymentSuccessPageContainer","KEEP_APP_LOCAL","N/A","P2","LOW","S","getrev-da-microsite","missing","no","low"
"AppPaymentSuccessPageShell","KEEP_APP_LOCAL","N/A","P3","LOW","S","getrev-da-microsite","missing","no","low"
"AppPerformanceDailyReportPage","KEEP_APP_LOCAL","N/A","P2","MEDIUM","S","teman-affiliate-admin","missing","no","low"
"AppPerformanceDashboardPage","KEEP_APP_LOCAL","N/A","P2","MEDIUM","S","teman-affiliate-admin","missing","no","low"
"AppPerformanceDropOffListPage","KEEP_APP_LOCAL","N/A","P2","MEDIUM","S","teman-affiliate-admin","missing","no","low"
"AppPlanGreatHome360Page","KEEP_APP_LOCAL","N/A","P2","LOW","XS","gegm-friendcover","partial","no","low"
"AppPlanGreatHome360PurchaseChangePlanPage","KEEP_APP_LOCAL","N/A","P2","LOW","S","gegm-friendcover","partial","no","low"
"AppPlanGreatHome360PurchaseChoosePaymentPage","KEEP_APP_LOCAL","N/A","P2","LOW","S","gegm-friendcover","partial","no","low"
"AppPlanGreatHome360PurchaseContactDetailsPage","KEEP_APP_LOCAL","N/A","P2","LOW","XS","gegm-friendcover","partial","no","low"
"AppPlanGreatHome360PurchaseDeclarationPage","KEEP_APP_LOCAL","N/A","P2","LOW","XS","gegm-friendcover","partial","no","low"
"AppPlanGreatHome360PurchasePersonalInfoPage","KEEP_APP_LOCAL","N/A","P2","LOW","XS","gegm-friendcover","partial","no","low"
"AppPlanGreatHome360PurchaseSummaryPage","KEEP_APP_LOCAL","N/A","P2","LOW","XS","gegm-friendcover","partial","no","low"
"AppPlanGreatShieldActivePage","MIGRATE_AFTER_SPLIT","1.5","P0","HIGH","XL","gegm-friendcover","partial","no","high"
"AppPlanGreatShieldActivePurchaseChangePlanPage","MIGRATE_AFTER_SPLIT","1.5","P1","LOW","M","gegm-friendcover","partial","no","high"
"AppPlanGreatShieldActivePurchaseChoosePaymentPage","KEEP_APP_LOCAL","N/A","P2","LOW","S","gegm-friendcover","partial","no","low"
"AppPlanGreatShieldActivePurchaseContactDetailsPage","MIGRATE_AFTER_SPLIT","1.5","P1","MEDIUM","L","gegm-friendcover","partial","no","high"
"AppPlanGreatShieldActivePurchaseDetailPage","MIGRATE_AFTER_SPLIT","1.5","P1","MEDIUM","L","gegm-friendcover","partial","no","high"
"AppPlanGreatShieldActivePurchasePersonalInfoPage","MIGRATE_AFTER_SPLIT","1.5","P0","HIGH","XL","gegm-friendcover","partial","no","high"
"AppPlansPage","KEEP_APP_LOCAL","N/A","P3","LOW","S","getrev-da-microsite","missing","no","low"
"AppPortalDeclarationByIdTransEditParticipantPage","KEEP_APP_LOCAL","N/A","P0","HIGH","XS","teman-affiliate-microsite","missing","no","low"
"AppPortalDeclarationByIdTransPage","KEEP_APP_LOCAL","N/A","P0","HIGH","XS","teman-affiliate-microsite","missing","no","low"
"AppPortalDeclarationByIdTransSuccessPage","KEEP_APP_LOCAL","N/A","P0","HIGH","XS","teman-affiliate-microsite","missing","no","low"
"AppPrivacyPolicyPage","KEEP_APP_LOCAL","N/A","P2","MEDIUM","M","getrev-da-microsite|teman-affiliate-microsite","missing","no","low"
